domain,dataset,generator,model,mix,seed,error,f1,ece,diversity,diversity0,fidelity_ks,cri,err0
tabular,BreastCancer,GaussianCopula,HistGBM,0.0,0,0.0624269859813084,0.9375730140186916,0.0466697498113671,6.880717152254138,6.880717152254138,0.0,4.3600106858221466e-10,0.0624269859813084
tabular,BreastCancer,GaussianCopula,HistGBM,0.1,0,0.0563633034242812,0.9436366965757188,0.0418734661679618,7.077277753462826,6.880717152254138,0.1629688261418078,0.0,0.0624269859813084
tabular,BreastCancer,GaussianCopula,HistGBM,0.3,0,0.07591003255401,0.92408996744599,0.0558811950391375,7.073892909392878,6.880717152254138,0.3344949756102151,0.008583812331904883,0.0624269859813084
tabular,BreastCancer,GaussianCopula,HistGBM,0.5,0,0.0693456221198156,0.9306543778801843,0.0546740868476776,7.130721841724874,6.880717152254138,0.7382613060595599,0.0050601854765156985,0.0624269859813084
tabular,BreastCancer,GaussianCopula,HistGBM,0.7,0,0.0764530551415797,0.9235469448584204,0.0664563159974181,7.034462261559247,6.880717152254138,1.045345495524876,0.010970347817345849,0.0624269859813084
tabular,BreastCancer,GaussianCopula,HistGBM,0.0,1,0.0376984126984127,0.9623015873015872,0.0300054488167481,7.013648390920497,7.013648390920497,0.0,4.2773744546309444e-10,0.0376984126984127
tabular,BreastCancer,GaussianCopula,HistGBM,0.1,1,0.0376984126984127,0.9623015873015872,0.0322525454005218,7.084246780398508,7.013648390920497,0.3030439583074259,0.00044941931675473936,0.0376984126984127
tabular,BreastCancer,GaussianCopula,HistGBM,0.3,1,0.0502645502645502,0.9497354497354498,0.0376501716903336,7.153891451400301,7.013648390920497,0.4201120912686576,0.007812013357785847,0.0376984126984127
tabular,BreastCancer,GaussianCopula,HistGBM,0.5,1,0.0571333110591379,0.942866688940862,0.0524707966192384,7.013222498353079,7.013648390920497,0.4312163669481798,0.01422873618817503,0.0376984126984127
tabular,BreastCancer,GaussianCopula,HistGBM,0.7,1,0.0571333110591379,0.942866688940862,0.0450805738487598,7.071966698703831,7.013648390920497,0.8656053340551417,0.01273247418676494,0.0376984126984127
tabular,BreastCancer,GaussianCopula,HistGBM,0.0,2,0.0506066883693401,0.94939331163066,0.0442356361766104,7.137520614452362,7.137520614452362,0.0,4.2031401692455e-10,0.0506066883693401
tabular,BreastCancer,GaussianCopula,HistGBM,0.1,2,0.0317407283661878,0.9682592716338122,0.0364202363892094,6.999122223527266,7.137520614452362,0.1537841081913696,0.005817078851623569,0.0506066883693401
