domain,dataset,generator,model,mix,error_mean,error_std,f1_mean,ece_mean,cri_mean,cri_std,fidelity_mean,diversity_mean
tabular,BreastCancer,GaussianCopula,HistGBM,0.0,0.05024402901635374,0.012368274960826877,0.9497559709836464,0.0403036116015752,4.280175103232864e-10,7.847274983839663e-12,0.0,7.010628719208999
tabular,BreastCancer,GaussianCopula,HistGBM,0.1,0.041934148162960566,0.012846162532720896,0.9580658518370394,0.036848749319230996,0.0020888327227927693,0.003236565900522413,0.20659896421353444,7.053548919129533
tabular,BreastCancer,GaussianCopula,HistGBM,0.3,0.05892709039596677,0.01470865418310829,0.9410729096040332,0.043973869552652735,0.007588249495074546,0.0011242715927542292,0.5742778668044398,7.071259086405557
tabular,BreastCancer,GaussianCopula,HistGBM,0.5,0.0589144944811679,0.009664434105193964,0.941085505518832,0.05103825384137767,0.008305679761912942,0.005137371390284311,0.7493197643814667,7.051938134666827
tabular,BreastCancer,GaussianCopula,HistGBM,0.7,0.06357322575328517,0.011154259446672449,0.9364267742467147,0.0536610875335434,0.009336093554859357,0.0044448552187846225,1.0297526221850735,7.09136902328958
tabular,BreastCancer,GaussianCopula,LogReg,0.0,0.041882585454478295,0.0034130994214324256,0.9581174145455217,0.029773251250105003,4.280175103232864e-10,7.847274983839663e-12,0.0,7.010628719208999
tabular,BreastCancer,GaussianCopula,LogReg,0.1,0.03145047505262557,0.006283363424408444,0.9685495249473743,0.02483179135905157,0.001939026283874523,0.003358492040882147,0.20659896421353444,7.053548919129533
tabular,BreastCancer,GaussianCopula,LogReg,0.3,0.054776912975578906,0.009192129677169498,0.945223087024421,0.03662030064641966,0.009939547904990869,0.0021838080206743296,0.5742778668044398,7.071259086405557
tabular,BreastCancer,GaussianCopula,LogReg,0.5,0.04637138302166186,0.015716840911678638,0.953628616978338,0.0432227283164883,0.0077731695859181785,0.005541946501847045,0.7493197643814667,7.051938134666827
tabular,BreastCancer,GaussianCopula,LogReg,0.7,0.06348813440901833,0.013222433614854529,0.9365118655909818,0.03797811838586413,0.012443747904421843,0.007213260729087513,1.0297526221850735,7.09136902328958
tabular,BreastCancer,GaussianCopula,RandomForest,0.0,0.0462673265484273,0.009491479924912347,0.9537326734515726,0.037605588044184506,4.280175103232864e-10,7.847274983839663e-12,0.0,7.010628719208999
tabular,BreastCancer,GaussianCopula,RandomForest,0.1,0.04616137226870187,0.014436620876366426,0.9538386277312981,0.0393599740090968,0.0037245668976551138,0.003766930805614676,0.20659896421353444,7.053548919129533
tabular,BreastCancer,GaussianCopula,RandomForest,0.3,0.0509202144448045,0.013011591514844087,0.9490797855551955,0.03614359974009101,0.005631897859890774,0.0069570775498858164,0.5742778668044398,7.071259086405557
tabular,BreastCancer,GaussianCopula,RandomForest,0.5,0.05718359694245456,0.011305584652028978,0.9428164030575455,0.034291747888239,0.0077996794940374805,0.002400781036027237,0.7493197643814667,7.051938134666827
tabular,BreastCancer,GaussianCopula,RandomForest,0.7,0.06792183948429696,0.01410673918193297,0.932078160515703,0.035721247563352765,0.011467282458838013,0.004584217248920861,1.0297526221850735,7.09136902328958
tabular,BreastCancer,IndepMarginals,HistGBM,0.0,0.05024402901635374,0.012368274960826877,0.9497559709836464,0.0403036116015752,4.280175103232864e-10,7.847274983839663e-12,0.0,7.010628719208999
tabular,BreastCancer,IndepMarginals,HistGBM,0.1,0.04196036220176317,0.007801452347637008,0.9580396377982368,0.03855296867294144,0.00020125274896168354,0.00021173956958596063,0.23342493925847685,7.1511121555538715
tabular,BreastCancer,IndepMarginals,HistGBM,0.3,0.04594606461569947,0.006920450864178845,0.9540539353843004,0.0373266728155145,0.002730952882066627,0.0047301491448160544,0.4692139782856304,7.290731021889509
tabular,BreastCancer,IndepMarginals,HistGBM,0.5,0.06077528605434613,0.009312599078508253,0.9392247139456539,0.04475386127267223,0.0063568321042176785,0.010666651105400504,0.6538929895468316,7.368139737511743
tabular,BreastCancer,IndepMarginals,HistGBM,0.7,0.06952344093010364,0.006545045128544798,0.9304765590698962,0.056538102039107606,0.012886604044381434,0.005589864472197706,0.8662155199176471,7.503958724420343
